File low-hanging-fruits/emac.ml.tm1.f32.little.5x90x160x320_3.raw.residual.bplanes
ix,unit000
0,0.0078125
1,0.015625
2,0.0234375
3,0.03125
4,0.0390625
5,0.046875
6,0.0546875
7,0.0625
8,0.0703125
9,0.078125
10,0.0859375
11,0.09375
12,0.1015625
13,0.109375
14,0.1171875
15,0.125
16,0.1328125
17,0.140625
18,0.1484375
19,0.15625
20,0.1640625
21,0.171875
22,0.1796875
23,0.1875
24,0.1953125
25,0.203125
26,0.2109375
27,0.21875
28,0.2265625
29,0.234375
30,0.2421875
31,0.25
32,0.2578125
33,0.265625
34,0.2734375
35,0.28125
36,0.2890625
37,0.296875
38,0.3046875
39,0.3125
40,0.3203125
41,0.328125
42,0.3359375
43,0.34375
44,0.3515625
45,0.359375
46,0.3671875
47,0.375
48,0.3828125
49,0.390625
50,0.3984375
51,0.40625
52,0.4140625
53,0.421875
54,0.4296875
55,0.4375
56,0.4453125
57,0.453125
58,0.4609375
59,0.46875
60,0.4765625
61,0.484375
62,0.4921875
63,0.5
64,0.5078125
65,0.515625
66,0.5234375
67,0.53125
68,0.5390625
69,0.546875
70,0.5546875
71,0.5625
72,0.5703125
73,0.578125
74,0.5859375
75,0.59375
76,0.6015625
77,0.609375
78,0.6171875
79,0.625
80,0.6328125
81,0.640625
82,0.6484375
83,0.65625
84,0.6640625
85,0.671875
86,0.6796875
87,0.6875
88,0.6953125
89,0.703125
90,0.7109375
91,0.71875
92,0.7265625
93,0.734375
94,0.7421875
95,0.75
96,0.7578125
97,0.765625
98,0.7734375
99,0.78125
100,0.7890625
101,0.796875
102,0.8046875
103,0.8125
104,0.8203125
105,0.828125
106,0.8359375
107,0.84375
108,0.8515625
109,0.859375
110,0.8671875
111,0.875
112,0.8828125
113,0.890625
114,0.8984375
115,0.90625
116,0.9140625
117,0.921875
118,0.9296875
119,0.9375
120,0.9453125
121,0.953125
122,0.9609375
123,0.96875
124,0.9765625
125,0.984375
126,0.9921875
127,1
