File low-hanging-fruits/emac.ml.tm1.f32.little.5x90x160x320_3.raw.residual.bplanes
ix,unit000,unit001,unit002,unit003,unit004,unit005,unit006,unit007,unit008,unit009,unit010,unit011,unit012,unit013,unit014,unit015,unit016,unit017,unit018,unit019,unit020,unit021,unit022,unit023,unit024,unit025,unit026
0,0.03125,0,0.03125,0.03125,0.03125,0,0.03125,0.03125,0.03125,0,0,0,0,0.03125,0,0.03125,0.03125,0.03125,0,0,0.03125,0,0.03125,0,0,0.03125,0
1,0.0625,0,0.0625,0.0625,0.0625,0.03125,0.0625,0.0625,0.0625,0,0,0,0,0.0625,0,0.03125,0.03125,0.03125,0.03125,0,0.0625,0.03125,0.03125,0.03125,0.03125,0.0625,0.03125
2,0.09375,0,0.09375,0.09375,0.0625,0.0625,0.09375,0.09375,0.0625,0,0,0,0,0.0625,0.03125,0.0625,0.03125,0.03125,0.0625,0,0.09375,0.0625,0.03125,0.03125,0.0625,0.0625,0.0625
3,0.125,0,0.125,0.125,0.0625,0.09375,0.125,0.09375,0.0625,0,0,0,0,0.0625,0.0625,0.0625,0.03125,0.03125,0.0625,0,0.125,0.09375,0.03125,0.03125,0.0625,0.0625,0.0625
4,0.15625,0.03125,0.15625,0.125,0.0625,0.125,0.15625,0.09375,0.0625,0,0,0,0,0.09375,0.0625,0.0625,0.03125,0.03125,0.0625,0,0.125,0.09375,0.03125,0.0625,0.09375,0.0625,0.0625
5,0.1875,0.0625,0.1875,0.125,0.0625,0.15625,0.15625,0.09375,0.0625,0,0,0,0,0.125,0.0625,0.0625,0.03125,0.03125,0.0625,0,0.125,0.125,0.03125,0.0625,0.09375,0.0625,0.0625
6,0.21875,0.09375,0.21875,0.125,0.0625,0.1875,0.15625,0.09375,0.0625,0,0,0,0,0.125,0.0625,0.0625,0.03125,0.03125,0.0625,0,0.125,0.125,0.03125,0.0625,0.09375,0.0625,0.0625
7,0.25,0.125,0.25,0.125,0.0625,0.21875,0.15625,0.09375,0.0625,0,0,0,0,0.125,0.0625,0.0625,0.03125,0.03125,0.0625,0,0.125,0.125,0.03125,0.0625,0.09375,0.0625,0.0625
8,0.28125,0.15625,0.28125,0.125,0.0625,0.21875,0.15625,0.09375,0.0625,0,0,0,0,0.125,0.0625,0.0625,0.03125,0.03125,0.0625,0,0.125,0.125,0.03125,0.0625,0.09375,0.0625,0.0625
9,0.3125,0.1875,0.3125,0.125,0.0625,0.21875,0.15625,0.09375,0.0625,0,0,0,0,0.125,0.0625,0.0625,0.03125,0.03125,0.0625,0,0.125,0.125,0.03125,0.0625,0.09375,0.0625,0.0625
