File low-hanging-fruits/emac.ml.tm1.f32.little.5x90x160x320_3.raw.residual.bplanes
ix,unit000,unit001,unit002,unit003,unit004,unit005
0,0.015625,0.015625,0.015625,0.015625,0.015625,0
1,0.03125,0.03125,0.03125,0.015625,0.03125,0
2,0.046875,0.03125,0.046875,0.015625,0.046875,0
3,0.0625,0.046875,0.046875,0.015625,0.0625,0
4,0.078125,0.046875,0.046875,0.03125,0.078125,0
5,0.09375,0.046875,0.0625,0.046875,0.09375,0
6,0.109375,0.0625,0.0625,0.0625,0.109375,0
7,0.125,0.078125,0.0625,0.078125,0.109375,0
8,0.140625,0.09375,0.0625,0.09375,0.109375,0
9,0.15625,0.109375,0.078125,0.109375,0.109375,0
10,0.171875,0.109375,0.09375,0.125,0.109375,0
11,0.1875,0.109375,0.109375,0.140625,0.109375,0
12,0.203125,0.125,0.125,0.140625,0.109375,0
13,0.21875,0.140625,0.140625,0.140625,0.109375,0
14,0.234375,0.15625,0.15625,0.140625,0.109375,0
15,0.25,0.171875,0.171875,0.140625,0.109375,0
16,0.265625,0.1875,0.1875,0.140625,0.109375,0
17,0.28125,0.1875,0.1875,0.140625,0.109375,0
18,0.296875,0.1875,0.1875,0.140625,0.109375,0
19,0.3125,0.203125,0.1875,0.140625,0.109375,0
20,0.328125,0.203125,0.1875,0.140625,0.109375,0
21,0.34375,0.203125,0.1875,0.140625,0.109375,0
22,0.359375,0.203125,0.1875,0.140625,0.109375,0
23,0.375,0.21875,0.1875,0.140625,0.109375,0
24,0.390625,0.234375,0.1875,0.140625,0.109375,0
25,0.40625,0.25,0.1875,0.140625,0.109375,0
26,0.421875,0.265625,0.1875,0.140625,0.109375,0
27,0.4375,0.28125,0.1875,0.140625,0.109375,0
28,0.453125,0.296875,0.1875,0.140625,0.109375,0
29,0.46875,0.3125,0.1875,0.140625,0.109375,0
30,0.484375,0.328125,0.1875,0.140625,0.109375,0
31,0.5,0.328125,0.1875,0.140625,0.109375,0
32,0.515625,0.328125,0.1875,0.140625,0.109375,0
33,0.53125,0.328125,0.1875,0.140625,0.109375,0
34,0.546875,0.328125,0.1875,0.140625,0.109375,0
35,0.5625,0.328125,0.1875,0.140625,0.109375,0
36,0.578125,0.328125,0.1875,0.140625,0.109375,0
37,0.59375,0.328125,0.1875,0.140625,0.109375,0.015625
38,0.609375,0.328125,0.1875,0.140625,0.109375,0.015625
39,0.625,0.328125,0.1875,0.140625,0.109375,0.03125
40,0.640625,0.328125,0.1875,0.140625,0.109375,0.03125
41,0.65625,0.328125,0.1875,0.140625,0.109375,0.03125
42,0.671875,0.328125,0.1875,0.140625,0.109375,0.03125
43,0.6875,0.328125,0.1875,0.140625,0.109375,0.046875
44,0.703125,0.328125,0.1875,0.140625,0.109375,0.0625
45,0.71875,0.328125,0.1875,0.140625,0.125,0.078125
46,0.734375,0.328125,0.1875,0.140625,0.125,0.09375
47,0.75,0.328125,0.1875,0.140625,0.140625,0.109375
48,0.765625,0.328125,0.1875,0.140625,0.140625,0.125
49,0.78125,0.328125,0.1875,0.140625,0.140625,0.140625
50,0.796875,0.328125,0.1875,0.15625,0.140625,0.15625
51,0.8125,0.328125,0.1875,0.15625,0.15625,0.15625
52,0.828125,0.328125,0.1875,0.171875,0.171875,0.171875
53,0.84375,0.328125,0.1875,0.171875,0.1875,0.1875
54,0.859375,0.328125,0.1875,0.171875,0.203125,0.1875
55,0.875,0.328125,0.203125,0.171875,0.21875,0.1875
56,0.890625,0.328125,0.203125,0.1875,0.234375,0.1875
57,0.90625,0.328125,0.21875,0.203125,0.25,0.203125
58,0.921875,0.328125,0.21875,0.21875,0.265625,0.203125
59,0.9375,0.328125,0.21875,0.234375,0.265625,0.203125
60,0.953125,0.328125,0.21875,0.25,0.28125,0.203125
61,0.96875,0.328125,0.234375,0.265625,0.296875,0.203125
62,0.984375,0.328125,0.25,0.28125,0.296875,0.21875
63,1,0.328125,0.265625,0.296875,0.296875,0.21875
