File low-hanging-fruits/emac.ml.tm1.f32.little.5x90x160x320_3.raw.residual
ix,unit000,unit001,unit002,unit003,unit004,unit005,unit006,unit007,unit008,unit009,unit010,unit011,unit012,unit013,unit014,unit015,unit016,unit017,unit018,unit019,unit020,unit021,unit022,unit023,unit024,unit025,unit026,unit027,unit028,unit029,unit030,unit031,unit032,unit033,unit034,unit035,unit036,unit037,unit038,unit039,unit040,unit041,unit042,unit043,unit044,unit045,unit046,unit047,unit048,unit049,unit050,unit051,unit052,unit053,unit054,unit055,unit056,unit057,unit058
0,0,0,0,0,0,0.0078125,0,0.0078125,0,0,0,0.0078125,0,0,0,0,0,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078125,0
1,0.0078125,0,0,0,0,0.015625,0,0.0078125,0.0078125,0.0078125,0,0.015625,0,0,0,0,0.0078125,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078125,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0
2,0.015625,0,0,0.0078125,0,0.015625,0,0.0078125,0.015625,0.015625,0.0078125,0.015625,0,0,0,0,0.015625,0.0234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078125,0.0078125,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0
3,0.0234375,0,0,0.0078125,0,0.015625,0,0.0078125,0.015625,0.0234375,0.015625,0.015625,0,0,0,0,0.0234375,0.03125,0,0.0078125,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078125,0.0078125,0.0078125,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0
4,0.0234375,0,0,0.015625,0,0.0234375,0,0.0078125,0.015625,0.0234375,0.0234375,0.015625,0,0,0,0,0.03125,0.0390625,0,0.0078125,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0
5,0.0234375,0,0,0.0234375,0,0.03125,0,0.0078125,0.015625,0.0234375,0.0234375,0.015625,0,0,0,0,0.0390625,0.046875,0,0.0078125,0.0234375,0,0,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0
6,0.03125,0,0,0.03125,0,0.0390625,0,0.0078125,0.015625,0.0234375,0.0234375,0.015625,0,0,0,0,0.046875,0.0546875,0,0.015625,0.0234375,0,0,0.015625,0,0.0078125,0,0,0,0,0,0,0,0,0,0,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0
7,0.03125,0,0,0.03125,0,0.0390625,0,0.0078125,0.015625,0.0234375,0.0234375,0.015625,0,0.0078125,0,0,0.0546875,0.0546875,0,0.015625,0.03125,0,0,0.015625,0,0.015625,0,0,0,0,0,0,0,0,0,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0
8,0.03125,0,0,0.0390625,0,0.0390625,0,0.0078125,0.015625,0.0234375,0.0234375,0.015625,0,0.015625,0,0,0.0546875,0.0546875,0,0.015625,0.03125,0,0,0.015625,0,0.015625,0,0,0,0,0,0,0,0,0,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0
9,0.0390625,0,0,0.046875,0,0.0390625,0.0078125,0.0078125,0.015625,0.0234375,0.0234375,0.015625,0,0.0234375,0,0,0.0546875,0.0546875,0,0.015625,0.03125,0,0,0.015625,0,0.0234375,0,0,0,0,0,0,0,0,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0
10,0.0390625,0,0,0.0546875,0.0078125,0.0390625,0.015625,0.0078125,0.015625,0.0234375,0.0234375,0.015625,0,0.03125,0,0,0.0546875,0.0546875,0.0078125,0.015625,0.03125,0,0,0.015625,0,0.0234375,0,0,0,0,0,0,0,0,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0
11,0.0390625,0,0,0.0625,0.0078125,0.0390625,0.015625,0.0078125,0.015625,0.0234375,0.0234375,0.015625,0,0.03125,0,0,0.0546875,0.0546875,0.0078125,0.015625,0.03125,0,0,0.015625,0,0.0234375,0,0,0,0,0,0,0,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0
12,0.046875,0,0,0.0703125,0.015625,0.0390625,0.015625,0.0078125,0.015625,0.0234375,0.0234375,0.015625,0,0.03125,0,0,0.0546875,0.0546875,0.0078125,0.015625,0.03125,0,0,0.015625,0,0.0234375,0,0,0,0,0,0,0,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0
13,0.046875,0,0,0.078125,0.0234375,0.0390625,0.015625,0.0078125,0.015625,0.0234375,0.0234375,0.015625,0,0.03125,0,0.0078125,0.0546875,0.0546875,0.015625,0.015625,0.03125,0,0,0.015625,0,0.0234375,0,0,0,0,0,0,0,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0
14,0.046875,0,0,0.0859375,0.0234375,0.0390625,0.015625,0.0078125,0.015625,0.0234375,0.0234375,0.015625,0,0.03125,0,0.0078125,0.0546875,0.0546875,0.015625,0.015625,0.03125,0,0,0.015625,0,0.0234375,0,0,0,0,0,0,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0
15,0.046875,0,0,0.09375,0.03125,0.0390625,0.015625,0.0078125,0.015625,0.0234375,0.0234375,0.015625,0,0.03125,0,0.0078125,0.0546875,0.0546875,0.015625,0.015625,0.03125,0,0,0.015625,0,0.0234375,0,0,0,0,0,0,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0
