File low-hanging-fruits/emac.ml.tm1.f32.little.5x90x160x320_3.raw.residual.nlzc
ix,unit000
0,0.0078125
1,0.0078125
2,0.015625
3,0.0234375
4,0.03125
5,0.03125
6,0.03125
7,0.0390625
8,0.0390625
9,0.0390625
10,0.046875
11,0.046875
12,0.046875
13,0.0546875
14,0.0546875
15,0.0546875
16,0.0546875
17,0.0546875
18,0.0546875
19,0.0546875
20,0.0546875
21,0.0546875
22,0.0546875
23,0.0625
24,0.0625
25,0.0703125
26,0.078125
27,0.078125
28,0.078125
29,0.078125
30,0.078125
31,0.0859375
32,0.09375
33,0.1015625
34,0.109375
35,0.109375
36,0.1171875
37,0.125
38,0.1328125
39,0.140625
40,0.1484375
41,0.15625
42,0.15625
43,0.1640625
44,0.171875
45,0.1796875
46,0.1796875
47,0.1796875
48,0.1875
49,0.1953125
50,0.203125
51,0.2109375
52,0.21875
53,0.2265625
54,0.2265625
55,0.2265625
56,0.234375
57,0.234375
58,0.234375
59,0.234375
60,0.2421875
61,0.2421875
62,0.2421875
63,0.25
64,0.2578125
65,0.265625
66,0.265625
67,0.2734375
68,0.2734375
69,0.28125
70,0.2890625
71,0.2890625
72,0.2890625
73,0.296875
74,0.3046875
75,0.3125
76,0.3125
77,0.3203125
78,0.3203125
79,0.328125
80,0.328125
81,0.3359375
82,0.34375
83,0.3515625
84,0.3515625
85,0.359375
86,0.3671875
87,0.3671875
88,0.375
89,0.3828125
90,0.390625
91,0.390625
92,0.390625
93,0.3984375
94,0.3984375
95,0.3984375
96,0.40625
97,0.4140625
98,0.4140625
99,0.421875
100,0.4296875
101,0.4296875
102,0.4296875
103,0.4375
104,0.4453125
105,0.4453125
106,0.4453125
107,0.453125
108,0.4609375
109,0.4609375
110,0.4609375
111,0.46875
112,0.46875
113,0.4765625
114,0.4765625
115,0.484375
116,0.484375
117,0.484375
118,0.4921875
119,0.4921875
120,0.5
121,0.5
122,0.5078125
123,0.515625
124,0.515625
125,0.5234375
126,0.53125
127,0.5390625
