File low-hanging-fruits/emac.ml.tm1.f32.little.5x90x160x320_3.raw.residual.nlzc
ix,unit000,unit001
0,0.015625,0.015625
1,0.015625,0.03125
2,0.03125,0.03125
3,0.046875,0.03125
4,0.0625,0.03125
5,0.0625,0.03125
6,0.0625,0.046875
7,0.078125,0.0625
8,0.078125,0.078125
9,0.078125,0.09375
10,0.09375,0.109375
11,0.09375,0.125
12,0.09375,0.140625
13,0.109375,0.15625
14,0.109375,0.171875
15,0.109375,0.171875
16,0.109375,0.171875
17,0.109375,0.1875
18,0.109375,0.203125
19,0.109375,0.203125
20,0.109375,0.203125
21,0.109375,0.21875
22,0.109375,0.234375
23,0.125,0.234375
24,0.125,0.234375
25,0.140625,0.234375
26,0.15625,0.25
27,0.15625,0.265625
28,0.15625,0.28125
29,0.15625,0.28125
30,0.15625,0.296875
31,0.171875,0.3125
32,0.1875,0.328125
33,0.203125,0.34375
34,0.21875,0.34375
35,0.21875,0.34375
36,0.234375,0.34375
37,0.25,0.34375
38,0.265625,0.359375
39,0.28125,0.359375
40,0.296875,0.359375
41,0.3125,0.359375
42,0.3125,0.359375
43,0.328125,0.359375
44,0.34375,0.359375
45,0.359375,0.359375
46,0.359375,0.359375
47,0.359375,0.359375
48,0.375,0.359375
49,0.390625,0.359375
50,0.40625,0.359375
51,0.421875,0.359375
52,0.4375,0.359375
53,0.453125,0.359375
54,0.453125,0.375
55,0.453125,0.390625
56,0.46875,0.40625
57,0.46875,0.421875
58,0.46875,0.4375
59,0.46875,0.4375
60,0.484375,0.453125
61,0.484375,0.453125
62,0.484375,0.46875
63,0.5,0.46875
